t	norma	normb	norm
0.398	0.0477545	0.0541657	6.29147e-05
0.399	0.0482738	0.0547372	6.29147e-05
0.4	0.0487888	0.0553034	6.29147e-05
0.401	0.0492995	0.0558644	6.29147e-05
0.402	0.0498058	0.0564202	6.29147e-05
0.403	0.0503079	0.0569707	6.29147e-05
0.404	0.0508057	0.0575162	6.29147e-05
0.405	0.0512993	0.0580565	6.29147e-05
0.406	0.0517887	0.0585917	6.29147e-05
0.407	0.0522739	0.0591219	6.29147e-05
0.408	0.0527549	0.059647	6.29147e-05
0.409	0.0532318	0.0601672	6.29147e-05
0.41	0.0537046	0.0606824	6.29147e-05
0.411	0.0541732	0.0611927	6.29147e-05
0.412	0.0546378	0.061698	6.29147e-05
0.413	0.0550983	0.0621985	6.29147e-05
0.414	0.0555548	0.0626941	6.29147e-05
0.415	0.0560072	0.0631849	6.29147e-05
0.416	0.0564557	0.063671	6.29147e-05
0.417	0.0569001	0.0641522	6.29147e-05
0.418	0.0573407	0.0646288	6.29147e-05
0.419	0.0577773	0.0651006	6.29147e-05
0.42	0.0582099	0.0655678	6.29147e-05
0.421	0.0586387	0.0660303	6.29147e-05
0.422	0.0590636	0.0664882	6.29147e-05
0.423	0.0594847	0.0669415	6.29147e-05
0.424	0.0599019	0.0673902	6.29147e-05
0.425	0.0603153	0.0678344	6.29147e-05
0.426	0.0607249	0.0682741	6.29147e-05
0.427	0.0611307	0.0687093	6.29147e-05
0.428	0.0615328	0.0691401	6.29147e-05
0.429	0.0619311	0.0695664	6.29147e-05
0.43	0.0623258	0.0699883	6.29147e-05
0.431	0.0627167	0.0704059	6.29147e-05
0.432	0.063104	0.0708191	6.29147e-05
0.433	0.0634875	0.071228	6.29147e-05
0.434	0.0638675	0.0716325	6.29147e-05
0.435	0.0642438	0.0720328	6.29147e-05
0.436	0.0646165	0.0724289	6.29147e-05
0.437	0.0649857	0.0728207	6.29147e-05
0.438	0.0653513	0.0732083	6.29147e-05
0.439	0.0657133	0.0735918	6.29147e-05
0.44	0.0660718	0.0739711	6.29147e-05
0.441	0.0664268	0.0743462	6.29147e-05
0.442	0.0667783	0.0747173	6.29147e-05
0.443	0.0671263	0.0750843	6.29147e-05
0.444	0.0674708	0.0754472	6.29147e-05
0.445	0.0678119	0.0758061	6.29147e-05
0.446	0.0681496	0.076161	6.29147e-05
0.447	0.0684839	0.0765119	6.29147e-05
0.448	0.0688148	0.0768589	6.29147e-05
0.449	0.0691423	0.0772019	6.29147e-05
0.45	0.0694665	0.077541	6.29147e-05
0.451	0.0697873	0.0778763	6.29147e-05
0.452	0.0701048	0.0782076	6.29147e-05
0.453	0.070419	0.0785351	6.29147e-05
0.454	0.0707299	0.0788588	6.29147e-05
0.455	0.0710375	0.0791787	6.29147e-05
0.456	0.0713419	0.0794948	6.29147e-05
0.457	0.0716431	0.0798071	6.29147e-05
0.458	0.071941	0.0801157	6.29147e-05
0.459	0.0722357	0.0804206	6.29147e-05
0.46	0.0725272	0.0807218	6.29147e-05
0.461	0.0728156	0.0810193	6.29147e-05
0.462	0.0731008	0.0813132	6.29147e-05
0.463	0.0733829	0.0816035	6.29147e-05
0.464	0.0736618	0.0818901	6.29147e-05
0.465	0.0739376	0.0821732	6.29147e-05
0.466	0.0742103	0.0824527	6.29147e-05
0.467	0.07448	0.0827286	6.29147e-05
0.468	0.0747466	0.083001	6.29147e-05
0.469	0.0750101	0.0832699	6.29147e-05
0.47	0.0752706	0.0835354	6.29147e-05
0.471	0.0755281	0.0837973	6.29147e-05
0.472	0.0757826	0.0840559	6.29147e-05
0.473	0.0760341	0.0843109	6.29147e-05
0.474	0.0762826	0.0845626	6.29147e-05
0.475	0.0765281	0.0848109	6.29147e-05
