t	integral	norm	uniform_integral	uniform_norm	time
-0.155792	0.0176916	0.218418	0.0160179	0.197357	57092
-0.153129	0.0176585	0.218001	0.0160179	0.197357	59610
-0.150466	0.0176255	0.217586	0.0160179	0.197357	54977
-0.147803	0.0175928	0.217174	0.0160179	0.197357	59097
-0.14514	0.0175602	0.216763	0.0160179	0.197357	61822
-0.142477	0.0175278	0.216355	0.0160179	0.197357	56078
-0.139814	0.0174955	0.215949	0.0160179	0.197357	58040
-0.13715	0.0174635	0.215545	0.0160179	0.197357	105955
-0.134487	0.0174316	0.215144	0.0160179	0.197357	56671
-0.131824	0.0173999	0.214744	0.0160179	0.197357	94619
-0.129161	0.0173683	0.214347	0.0160179	0.197357	60468
-0.126498	0.017337	0.213952	0.0160179	0.197357	57802
-0.123835	0.0173058	0.213559	0.0160179	0.197357	59066
-0.121172	0.0172747	0.213168	0.0160179	0.197357	57711
-0.118509	0.0172438	0.212779	0.0160179	0.197357	71506
-0.115846	0.0172131	0.212392	0.0160179	0.197357	55942
-0.113182	0.0171826	0.212008	0.0160179	0.197357	53877
-0.110519	0.0171522	0.211625	0.0160179	0.197357	59497
-0.107856	0.0171219	0.211244	0.0160179	0.197357	120828
-0.105193	0.0170918	0.210865	0.0160179	0.197357	56640
-0.10253	0.0170619	0.210489	0.0160179	0.197357	58128
-0.0998668	0.0170322	0.210114	0.0160179	0.197357	57193
-0.0972037	0.0170025	0.209741	0.0160179	0.197357	112626
-0.0945406	0.0169731	0.209371	0.0160179	0.197357	57087
-0.0918775	0.0169438	0.209002	0.0160179	0.197357	55950
-0.0892144	0.0169146	0.208635	0.0160179	0.197357	54143
-0.0865513	0.0168856	0.20827	0.0160179	0.197357	58479
-0.0838881	0.0168568	0.207906	0.0160179	0.197357	58986
-0.081225	0.016828	0.207545	0.0160179	0.197357	57563
-0.0785619	0.0167995	0.207186	0.0160179	0.197357	55404
-0.0758988	0.0167711	0.206828	0.0160179	0.197357	55136
-0.0732357	0.0167428	0.206472	0.0160179	0.197357	72319
-0.0705726	0.0167147	0.206118	0.0160179	0.197357	65085
-0.0679095	0.0166867	0.205766	0.0160179	0.197357	59141
-0.0652463	0.0166588	0.205416	0.0160179	0.197357	108052
-0.0625832	0.0166311	0.205067	0.0160179	0.197357	229522
-0.0599201	0.0166035	0.204721	0.0160179	0.197357	114653
-0.057257	0.0165761	0.204375	0.0160179	0.197357	56412
-0.0545939	0.0165488	0.204032	0.0160179	0.197357	55603
-0.0519308	0.0165217	0.203691	0.0160179	0.197357	55955
-0.0492676	0.0164946	0.203351	0.0160179	0.197357	59491
-0.0466045	0.0164678	0.203012	0.0160179	0.197357	57674
-0.0439414	0.016441	0.202676	0.0160179	0.197357	87000
-0.0412783	0.0164144	0.202341	0.0160179	0.197357	56905
-0.0386152	0.0163879	0.202008	0.0160179	0.197357	51357
-0.0359521	0.0163615	0.201676	0.0160179	0.197357	53463
-0.0332889	0.0163353	0.201347	0.0160179	0.197357	53322
-0.0306258	0.0163092	0.201018	0.0160179	0.197357	57226
-0.0279627	0.0162832	0.200692	0.0160179	0.197357	171754
-0.0252996	0.0162574	0.200367	0.0160179	0.197357	53886
-0.0226365	0.0162316	0.200043	0.0160179	0.197357	138748
-0.0199734	0.016206	0.199722	0.0160179	0.197357	52927
-0.0173103	0.0161806	0.199401	0.0160179	0.197357	52249
-0.0146471	0.0161552	0.199083	0.0160179	0.197357	53046
-0.011984	0.01613	0.198765	0.0160179	0.197357	57662
-0.00932091	0.0161049	0.19845	0.0160179	0.197357	53633
-0.00665779	0.0160799	0.198136	0.0160179	0.197357	54329
-0.00399467	0.016055	0.197823	0.0160179	0.197357	51907
-0.00133156	0.0160303	0.197512	0.0160179	0.197357	52064
0.00133156	0.0160056	0.197202	0.0160179	0.197357	124458
0.00399467	0.015981	0.196893	0.0160179	0.197357	53438
0.00665779	0.0159563	0.196583	0.0160179	0.197357	90768
0.00932091	0.0159316	0.196273	0.0160179	0.197357	56048
0.011984	0.015907	0.195963	0.0160179	0.197357	110551
0.0146471	0.0158823	0.195652	0.0160179	0.197357	54044
0.0173103	0.0158575	0.195342	0.0160179	0.197357	53851
0.0199734	0.0158328	0.195031	0.0160179	0.197357	72590
0.0226365	0.0158081	0.19472	0.0160179	0.197357	66172
0.0252996	0.0157833	0.194409	0.0160179	0.197357	85076
0.0279627	0.0157586	0.194098	0.0160179	0.197357	84391
0.0306258	0.0157338	0.193787	0.0160179	0.197357	52796
0.0332889	0.015709	0.193476	0.0160179	0.197357	53152
0.0359521	0.0156842	0.193164	0.0160179	0.197357	51615
0.0386152	0.0156594	0.192852	0.0160179	0.197357	83977
0.0412783	0.0156345	0.19254	0.0160179	0.197357	51700
0.0439414	0.0156097	0.192228	0.0160179	0.197357	80497
0.0466045	0.0155848	0.191916	0.0160179	0.197357	48668
0.0492676	0.01556	0.191604	0.0160179	0.197357	53862
0.0519308	0.0155351	0.191291	0.0160179	0.197357	52322
0.0545939	0.0155102	0.190979	0.0160179	0.197357	75728
0.057257	0.0154853	0.190666	0.0160179	0.197357	53494
0.0599201	0.0154603	0.190353	0.0160179	0.197357	53191
0.0625832	0.0154354	0.19004	0.0160179	0.197357	63075
0.0652463	0.0154105	0.189727	0.0160179	0.197357	113151
0.0679095	0.0153855	0.189414	0.0160179	0.197357	78346
0.0705726	0.0153605	0.1891	0.0160179	0.197357	83937
0.0732357	0.0153355	0.188787	0.0160179	0.197357	63506
0.0758988	0.0153105	0.188473	0.0160179	0.197357	53037
0.0785619	0.0152855	0.188159	0.0160179	0.197357	111355
0.081225	0.0152605	0.187845	0.0160179	0.197357	315468
0.0838881	0.0152355	0.187531	0.0160179	0.197357	135260
0.0865513	0.0152104	0.187216	0.0160179	0.197357	232688
0.0892144	0.0151853	0.186902	0.0160179	0.197357	52099
0.0918775	0.0151603	0.186587	0.0160179	0.197357	54232
0.0945406	0.0151352	0.186272	0.0160179	0.197357	49514
0.0972037	0.0151101	0.185957	0.0160179	0.197357	55201
0.0998668	0.015085	0.185642	0.0160179	0.197357	56667
